100,石狩北部
101,石狩中部
102,石狩南部
105,渡島北部
106,渡島東部
107,渡島西部
110,檜山地方
115,後志北部
116,後志東部
117,後志西部
119,奥尻島
120,空知北部
121,空知中部
122,空知南部
125,上川北部
126,上川中部
127,上川南部
130,留萌中北部
131,留萌南部
135,宗谷北部
136,宗谷南部
139,利尻礼文
140,網走地方
141,北見地方
142,紋別地方
145,胆振西部
146,胆振中東部
150,日高西部
151,日高中部
152,日高東部
155,十勝北部
156,十勝中部
157,十勝南部
160,釧路北部
161,釧路中南部
165,根室北部
166,根室中部
167,根室南部
200,津軽北部
201,津軽南部
202,三八上北
203,下北
210,岩手沿岸北部
211,岩手沿岸南部
212,岩手内陸北部
213,岩手内陸南部
220,宮城北部
221,宮城南部
222,宮城中部
230,秋田沿岸北部
231,秋田沿岸南部
232,秋田内陸北部
233,秋田内陸南部
240,庄内地方
241,最上地方
242,村山地方
243,置賜地方
250,中通り
251,浜通り
252,会津
300,茨城北部
301,茨城南部
310,栃木北部
311,栃木南部
320,群馬北部
321,群馬南部
330,埼玉北部
331,埼玉南部
332,秩父地方
340,千葉北東部
341,千葉北西部
342,千葉南部
350,東京２３区
351,多摩東部
352,多摩西部
354,神津島
355,伊豆大島
356,新島
357,三宅島
358,八丈島
359,小笠原
360,神奈川東部
361,神奈川西部
370,上越地方
371,中越地方
372,下越地方
375,佐渡地方
380,富山東部
381,富山西部
390,石川能登
391,石川加賀
400,嶺北地方
401,嶺南地方
411,山梨中・西部
412,山梨東部・富士五湖
420,長野北部
421,長野中部
422,長野南部
430,飛騨地方
431,美濃東部
432,美濃中西部
440,伊豆地方
441,静岡東部
442,静岡中部
443,静岡西部
450,愛知東部
451,愛知西部
460,三重北部
461,三重中部
462,三重南部
500,滋賀北部
501,滋賀南部
510,京都北部
511,京都南部
520,大阪北部
521,大阪南部
530,兵庫北部
531,兵庫南東部
532,兵庫南西部
535,淡路島
540,奈良県
550,和歌山北部
551,和歌山南部
560,鳥取東部
562,鳥取中部
563,鳥取西部
570,島根東部
571,島根西部
575,島根隠岐
580,岡山北部
581,岡山南部
590,広島北部
591,広島南東部
592,広島南西部
600,徳島北部
601,徳島南部
610,香川東部
611,香川西部
620,東予地方
621,中予地方
622,南予地方
630,高知東部
631,高知中部
632,高知西部
700,山口北部
702,山口西部
703,山口東部
704,山口中部
710,福岡地方
711,北九州地方
712,筑豊地方
713,筑後地方
720,佐賀北部
721,佐賀南部
730,長崎北部
731,長崎南西部
732,島原半島
735,対馬
736,壱岐
737,五島
740,阿蘇地方
741,熊本地方
742,球磨地方
743,天草・芦北地方
750,大分北部
751,大分中部
752,大分南部
753,大分西部
760,宮崎北部平野部
761,宮崎北部山沿い
762,宮崎南部平野部
763,宮崎南部山沿い
770,薩摩地方
771,大隅地方
774,十島村
775,甑島
776,種子島
777,屋久島
778,奄美北部
779,奄美南部
800,本島北部
801,本島中南部
802,久米島
803,大東島
804,宮古島
805,石垣島
806,与那国島
807,西表島
